chrM	87	88
chrM	200	201
chrM	314	315
chrM	391	392
chrM	511	512
chrM	670	671
chrM	854	855
chrM	1026	1027
chrM	1201	1202
chrM	1360	1361
chrM	1506	1507
chrM	1671	1672
chrM	1821	1822
chrM	1979	1980
chrM	2109	2110
chrM	2224	2225
chrM	2332	2333
chrM	2525	2526
chrM	2663	2664
chrM	2834	2835
chrM	3019	3020
chrM	3202	3203
chrM	3392	3393
chrM	3563	3564
chrM	3718	3719
chrM	3908	3909
chrM	4085	4086
chrM	4266	4267
chrM	4463	4464
chrM	4625	4626
chrM	4818	4819
chrM	5000	5001
chrM	5163	5164
chrM	5322	5323
chrM	5489	5490
chrM	5670	5671
chrM	5836	5837
chrM	6030	6031
chrM	6202	6203
chrM	6391	6392
chrM	6548	6549
chrM	6721	6722
chrM	6875	6876
chrM	7041	7042
chrM	7221	7222
chrM	7398	7399
chrM	7591	7592
chrM	7765	7766
chrM	7931	7932
chrM	8105	8106
chrM	8295	8296
chrM	8462	8463
chrM	8624	8625
chrM	8778	8779
chrM	8966	8967
chrM	9136	9137
chrM	9304	9305
chrM	9468	9469
chrM	9627	9628
chrM	9796	9797
chrM	9982	9983
chrM	10151	10152
chrM	10338	10339
chrM	10510	10511
chrM	10675	10676
chrM	10866	10867
chrM	11033	11034
chrM	11201	11202
chrM	11366	11367
chrM	11525	11526
chrM	11700	11701
chrM	11890	11891
chrM	12081	12082
chrM	12241	12242
chrM	12423	12424
chrM	12594	12595
chrM	12739	12740
chrM	12920	12921
chrM	13076	13077
chrM	13244	13245
chrM	13412	13413
chrM	13587	13588
chrM	13739	13740
chrM	13933	13934
chrM	14108	14109
chrM	14279	14280
chrM	14462	14463
chrM	14645	14646
chrM	14823	14824
chrM	14988	14989
chrM	15165	15166
chrM	15344	15345
chrM	15499	15500
chrM	15663	15664
chrM	15831	15832
chrM	16002	16003
chrM	16187	16188
chrM	16309	16310
chrM	16444	16445
chrM	16548	16549
